Array sizes;random_small_range & BubbleSort;random_small_range & BubbleSortIverson1;random_small_range & BubbleSortIverson12;random_small_range & CountingSort;random_small_range & HeapSort;random_small_range & SimpleInsertionSort;random_small_range & BinaryInsertionSort;random_small_range & MergeSort;random_small_range & QuickSort;random_small_range & RadixSort;random_small_range & SelectionSort;random_small_range & ShellSort;random_small_range & CiuraShellSort;random_large_range & BubbleSort;random_large_range & BubbleSortIverson1;random_large_range & BubbleSortIverson12;random_large_range & CountingSort;random_large_range & HeapSort;random_large_range & SimpleInsertionSort;random_large_range & BinaryInsertionSort;random_large_range & MergeSort;random_large_range & QuickSort;random_large_range & RadixSort;random_large_range & SelectionSort;random_large_range & ShellSort;random_large_range & CiuraShellSort;almost_sorted & BubbleSort;almost_sorted & BubbleSortIverson1;almost_sorted & BubbleSortIverson12;almost_sorted & CountingSort;almost_sorted & HeapSort;almost_sorted & SimpleInsertionSort;almost_sorted & BinaryInsertionSort;almost_sorted & MergeSort;almost_sorted & QuickSort;almost_sorted & RadixSort;almost_sorted & SelectionSort;almost_sorted & ShellSort;almost_sorted & CiuraShellSort;decreasing & BubbleSort;decreasing & BubbleSortIverson1;decreasing & BubbleSortIverson12;decreasing & CountingSort;decreasing & HeapSort;decreasing & SimpleInsertionSort;decreasing & BinaryInsertionSort;decreasing & MergeSort;decreasing & QuickSort;decreasing & RadixSort;decreasing & SelectionSort;decreasing & ShellSort;decreasing & CiuraShellSort
100;59000;56900;56700;42800;17600;18600;37900;59500;30400;19800;30500;8500;8400;65700;65200;65900;37800;18900;31000;36300;57400;51100;17800;30500;13000;13300;25200;600;700;30200;17500;1000;3800;48500;55600;18200;25200;3100;3100;67000;67200;68400;30400;14400;34900;49000;49700;56700;18200;27000;7400;15100
200;199700;210100;210400;33000;39300;66700;150000;151600;67700;26800;98900;18200;16000;211900;211900;208100;45700;37100;68700;107000;120100;67800;69800;161100;32600;49600;143900;66500;24700;33600;63500;4200;12600;110200;146400;47300;110400;12600;10700;275800;314400;301700;40400;40700;162100;230300;143200;270400;44700;134000;23500;39000
300;607900;775700;675900;94900;73300;166300;360700;205900;140200;49900;320900;35500;32800;651800;644600;665600;63100;81400;238000;315900;247200;156400;50700;344500;66200;81500;304100;152500;135100;51200;86900;8700;24800;222600;230900;47200;274700;25600;23400;810600;802000;832600;47400;65300;347700;494500;187300;506000;55400;286300;29100;29000
400;1086500;944300;990900;44600;85500;266900;504100;227800;183400;50800;354100;38800;38200;858400;840300;878700;36200;119000;339400;444100;276100;143300;44600;474300;96200;93300;475100;173600;113800;43500;98600;9500;24300;309400;294800;42000;335700;47200;18900;876500;970400;924700;31400;63900;440600;707300;183700;656600;38500;328900;29900;25900
500;1044200;1031900;1245300;32900;79700;294900;580400;261600;220400;54400;749500;65700;60300;1949100;1703700;1822000;44300;285100;971500;833500;707400;336400;127000;1263300;134400;109300;738900;222400;187000;47100;130300;14500;41400;363300;506900;69200;708800;40800;48000;2038600;1988900;2389800;48600;120200;1003200;1366200;332800;1323300;68300;717000;58300;50600
600;2448400;2352800;2217500;59200;159900;640200;1209900;460400;422500;64400;848600;63000;50600;2512600;3224400;3001600;58200;215900;1438500;1267800;508800;280100;93600;1440200;171600;149400;1196400;304300;248600;55700;166900;18500;51400;426100;655300;89700;1060600;55900;54900;2945600;3271500;3029400;55400;163000;1472200;1806600;372200;1521700;55400;790600;49700;70000
700;2430000;2347300;2076400;36800;115300;580900;1112500;370000;391000;61100;966800;53800;49300;2246800;2196100;2271300;37000;138800;758100;956400;384000;230000;61200;997000;190200;116600;999300;230200;207200;36600;132200;14400;42700;333400;547800;61100;1029800;45600;35000;3240800;2688400;3281100;37500;121400;1356100;1863700;343000;1967200;61200;1025500;60100;51000
800;3449600;2618400;3334900;48000;141700;720800;1425900;421300;519500;69100;1249700;76900;57700;3218600;2879400;2937400;39400;162000;990700;1303200;448300;258500;79700;1289000;160400;140800;1299300;280600;238200;44600;153500;16700;54500;393000;686400;68900;1234600;50600;40500;3507700;3733700;4557400;39300;186300;1948500;2880600;388900;2362700;68700;1284200;66600;56600
900;4122400;3346900;3600300;41200;153100;908400;1852900;676700;616600;85100;1713400;84400;64200;3730500;3710400;3711500;41100;185700;1100800;1574300;502500;295400;76600;1627400;185500;154700;1644600;300300;326200;40900;180900;18900;56300;487000;831300;78000;1715400;40000;46300;4422600;4455900;5220000;40900;163100;2229300;3071700;496800;2833000;76600;1692700;81100;65500
1000;4279300;4266100;4332900;113800;179300;1136700;2238500;665000;750200;85700;1972300;82000;72200;4712100;4680200;4711300;42900;319300;1453000;2078500;833400;329900;84400;2137500;190800;178100;2331700;341400;378700;43700;196200;21200;83800;490000;1249200;116300;1976300;60400;52500;5461100;5498800;5600100;42400;182200;2760700;3796300;486100;3776500;84200;1974600;95000;72700
