Array sizes;RandomSmallRange & BubbleSort;RandomSmallRange & BubbleSortIverson1;RandomSmallRange & BubbleSortIverson12;RandomSmallRange & CountingSort;RandomSmallRange & HeapSort;RandomSmallRange & SimpleInsertionSort;RandomSmallRange & BinaryInsertionSort;RandomSmallRange & MergeSort;RandomSmallRange & QuickSort;RandomSmallRange & RadixSort;RandomSmallRange & SelectionSort;RandomSmallRange & ShellSort;RandomSmallRange & CiuraShellSort;RandomLargeRange & BubbleSort;RandomLargeRange & BubbleSortIverson1;RandomLargeRange & BubbleSortIverson12;RandomLargeRange & CountingSort;RandomLargeRange & HeapSort;RandomLargeRange & SimpleInsertionSort;RandomLargeRange & BinaryInsertionSort;RandomLargeRange & MergeSort;RandomLargeRange & QuickSort;RandomLargeRange & RadixSort;RandomLargeRange & SelectionSort;RandomLargeRange & ShellSort;RandomLargeRange & CiuraShellSort;AlmostSorted & BubbleSort;AlmostSorted & BubbleSortIverson1;AlmostSorted & BubbleSortIverson12;AlmostSorted & CountingSort;AlmostSorted & HeapSort;AlmostSorted & SimpleInsertionSort;AlmostSorted & BinaryInsertionSort;AlmostSorted & MergeSort;AlmostSorted & QuickSort;AlmostSorted & RadixSort;AlmostSorted & SelectionSort;AlmostSorted & ShellSort;AlmostSorted & CiuraShellSort;Decreasing & BubbleSort;Decreasing & BubbleSortIverson1;Decreasing & BubbleSortIverson12;Decreasing & CountingSort;Decreasing & HeapSort;Decreasing & SimpleInsertionSort;Decreasing & BinaryInsertionSort;Decreasing & MergeSort;Decreasing & QuickSort;Decreasing & RadixSort;Decreasing & SelectionSort;Decreasing & ShellSort;Decreasing & CiuraShellSort
100;1408248;1302066;1236070;5764;364352;367616;841061;151332;200727;144250;606206;56290;48515;1523898;1466275;1406409;5764;394372;457566;766929;153846;152666;144250;609390;108418;99923;963855;436396;217909;5764;413305;21977;84108;138354;395528;144250;604629;36802;28115;2012418;2011296;2014753;5764;374173;837526;1358877;137430;765730;144250;663980;78450;66051
200;1645105;1522392;1446248;6766;422683;429343;982962;178026;235314;168000;708381;66610;57111;1781059;1713672;1642787;6766;458373;535085;897169;180930;179428;168000;712098;128338;117335;1126156;529494;246330;6766;480534;25716;98842;162630;466912;168000;706523;43314;32983;2351317;2349999;2354057;6766;434140;978619;1588197;161676;894995;168000;775870;92002;76999
300;2183571;2019493;1918451;8268;501140;571077;1301408;220942;301233;200550;936675;82532;70483;2359440;2270540;2177359;8268;545992;707864;1182804;224512;220493;200550;941414;158244;145923;1490859;682072;326409;8268;573236;32301;123562;201886;589206;200550;934371;55028;41571;3114666;3113052;3118011;8268;516491;1295262;2098527;200482;1178910;200550;1026210;114340;94963
400;3136415;2900585;2748615;10270;599851;818305;1855394;281320;406684;241900;1341057;105591;87888;3366662;3231076;3099528;10270;659403;997386;1657989;285502;278838;241900;1346962;208295;186288;2137964;894130;458146;10270;692896;41732;158932;256558;775010;241900;1338173;72103;54176;4472465;4470455;4476615;10270;622245;1857455;3000307;254584;1677475;241900;1470000;145815;118704
500;4606929;4266076;4043660;12772;722466;1189143;2691646;358932;563315;292050;1971538;131719;109937;4936059;4722938;4529165;12772;798071;1445133;2388140;363972;354596;292050;1979083;264743;240897;3147471;1165668;641541;12772;839747;54009;204688;327690;1036924;292050;1967929;92503;70801;6594714;6592208;6599869;12772;752080;2735198;4403537;323574;2450690;292050;2162240;189959;152833
600;6721769;6228747;5907517;15774;867578;1719879;3887012;455316;788648;351000;2878084;165264;137110;7199021;6896346;6615989;15774;964383;2091075;3436376;461346;453898;351000;2887770;340112;309878;4599380;1496686;876594;15774;1016079;69132;262006;415134;1387548;351000;2873639;120384;91446;9651413;9648311;9657773;15774;907033;3998491;6418929;409596;3558555;351000;3157930;241200;195718
700;9594604;8887379;8421723;19276;1036815;2436700;5499499;570316;1079511;418750;4110725;203583;169455;10265491;9834949;9432554;19276;1158662;2958501;4839500;577780;565915;418750;4122966;427711;394639;6573691;1887184;1163305;19276;1221702;87101;330502;519334;1839482;418750;4105303;154511;116111;13812562;13808764;13820327;19276;1087891;5717334;9156571;512446;5061070;418750;4512070;304767;245727
800;13349687;12391357;11747606;23278;1232499;3374025;7606736;703944;1456728;495300;5719458;257557;206517;14252558;13653252;13082335;23278;1380923;4076258;6643445;713292;691449;495300;5734713;555333;492165;9150404;2337162;1501674;23278;1456962;107916;410176;640398;2405326;495300;5712921;193909;145093;19248161;19243567;19257531;23278;1295105;7961727;12726463;631860;7018235;495300;6279660;376485;301365
900;18092542;16819408;15948602;27780;1450622;4551706;10255091;856404;1930421;580650;7754284;315694;248491;19313032;18500150;17718215;27780;1631128;5500976;8936906;867996;835006;580650;7773125;708254;600955;12409519;2846620;1891701;27780;1722378;131577;501116;779376;3097680;580650;7746493;220670;178395;26128210;26122720;26139385;27780;1529354;10801670;17238605;767718;9490050;580650;8515700;465006;364683
1000;24016317;22375915;21223450;32782;1695228;6057747;13597946;1027504;2499292;674800;10265180;373917;296577;25514988;24446266;23405402;32782;1910833;7223380;11705664;1042108;998420;674800;10287908;858685;726353;16431036;3415558;2333386;32782;2017193;158084;603714;936148;3929144;674800;10256019;266893;216017;34622709;34616223;34635889;32782;1788905;14307163;22802997;919708;12536515;674800;11275190;564253;434465
