Array sizes;RandomSmallRange & BubbleSort;RandomSmallRange & BubbleSortIverson1;RandomSmallRange & BubbleSortIverson12;RandomSmallRange & CountingSort;RandomSmallRange & HeapSort;RandomSmallRange & SimpleInsertionSort;RandomSmallRange & BinaryInsertionSort;RandomSmallRange & MergeSort;RandomSmallRange & QuickSort;RandomSmallRange & RadixSort;RandomSmallRange & SelectionSort;RandomSmallRange & ShellSort;RandomSmallRange & CiuraShellSort;RandomLargeRange & BubbleSort;RandomLargeRange & BubbleSortIverson1;RandomLargeRange & BubbleSortIverson12;RandomLargeRange & CountingSort;RandomLargeRange & HeapSort;RandomLargeRange & SimpleInsertionSort;RandomLargeRange & BinaryInsertionSort;RandomLargeRange & MergeSort;RandomLargeRange & QuickSort;RandomLargeRange & RadixSort;RandomLargeRange & SelectionSort;RandomLargeRange & ShellSort;RandomLargeRange & CiuraShellSort;AlmostSorted & BubbleSort;AlmostSorted & BubbleSortIverson1;AlmostSorted & BubbleSortIverson12;AlmostSorted & CountingSort;AlmostSorted & HeapSort;AlmostSorted & SimpleInsertionSort;AlmostSorted & BinaryInsertionSort;AlmostSorted & MergeSort;AlmostSorted & QuickSort;AlmostSorted & RadixSort;AlmostSorted & SelectionSort;AlmostSorted & ShellSort;AlmostSorted & CiuraShellSort;Decreasing & BubbleSort;Decreasing & BubbleSortIverson1;Decreasing & BubbleSortIverson12;Decreasing & CountingSort;Decreasing & HeapSort;Decreasing & SimpleInsertionSort;Decreasing & BinaryInsertionSort;Decreasing & MergeSort;Decreasing & QuickSort;Decreasing & RadixSort;Decreasing & SelectionSort;Decreasing & ShellSort;Decreasing & CiuraShellSort
100;97700;101500;67300;66400;23100;25200;49700;76200;36900;24400;37600;12300;11400;120200;80100;78400;39900;21000;25600;39300;62800;36400;40100;41100;18900;34500;39000;800;700;34300;20300;1100;4300;51600;68200;19000;27500;3300;3300;75000;75300;76700;32000;15700;38500;51900;49900;67800;18500;30200;8100;7300
200;221100;240200;229000;37300;37200;67800;179700;122000;75700;29400;109500;19700;18400;283700;302700;293900;38000;41700;81600;138900;125700;80700;30400;120500;35700;33800;139700;83200;36400;37800;45700;4400;12500;105100;136300;29100;105000;12300;10000;295600;375000;305300;37400;39300;150200;206700;108900;243000;30300;120600;18200;16400
300;507800;511800;526100;38000;65300;153200;286900;168000;134300;39000;255100;55800;27000;589900;590000;569100;37000;66900;207300;256200;190400;121700;46500;671300;116900;91900;513900;251400;155500;72300;120800;11000;27200;248000;344500;67700;358500;31000;23600;832600;957500;924100;48300;69200;417100;507500;181100;646400;45300;513700;42200;29800
400;1128900;1030100;1051300;48600;110500;378700;661500;360700;277700;74900;596400;59800;58600;1289600;1355900;1256100;57300;124100;397100;691900;350500;205800;69700;641400;106300;99200;716800;248700;161500;54100;126600;15400;56100;326300;503300;67800;582200;40200;32400;1527500;1620400;1647400;54200;113100;717000;1111000;291000;1237500;95600;675500;62900;66100
500;2064100;1899600;1909800;71700;146100;571800;1079600;442700;448100;86000;1002400;89300;49300;1693300;1649400;1774200;45400;128100;641300;708400;349200;252200;72400;751100;127400;108000;945500;260400;211900;65600;150500;17100;42900;590500;1043200;156100;1671800;110700;76700;5232700;3944900;4036800;67300;160500;1540300;1826200;439600;2354000;93300;1098600;99100;73700
600;3224500;3154500;3007400;81100;186500;870700;1669100;598800;659300;127400;1634300;88800;78300;3171000;3176500;3077600;74700;213900;996200;1494800;637800;394200;149200;1105900;141200;178000;1746200;631600;446000;67700;246900;50300;55500;461700;813700;110500;1189300;68500;49200;3431200;3440900;3365700;58200;166700;1676300;2459400;427300;2537800;88900;1269200;83900;68400
700;3582400;3433400;3300700;59200;171100;836100;1598600;433800;542600;152300;1136500;59800;54700;2581700;2545500;2490200;39600;151300;774000;1082600;381500;238300;66800;1100800;127800;122700;1260200;269600;215500;39300;146200;16400;46000;338600;698000;66400;1152500;50900;36800;3025700;3059100;3115500;40000;133300;1511400;2007200;347900;2439200;72900;1140100;67100;53900
800;3106300;3035200;3080100;59200;146900;891900;1923700;583100;795200;112100;1391300;85100;61000;3790400;3330100;3177300;42800;181500;977100;1381300;444000;341000;163000;1460100;163400;152100;1625100;310100;253400;41300;170700;18800;52700;399500;968400;106800;1547300;57900;45300;3905700;4722300;4111700;43700;161300;2070700;2705600;394300;3068200;75900;1600200;75500;60800
900;4205200;3941000;5929700;131600;208300;1162700;1942800;614100;1045400;93800;1996900;145300;70200;5229800;4633500;4399000;48100;200600;1238800;1715100;746600;490700;143200;2999700;243100;181000;2095600;357600;298100;46200;206300;30000;59800;445300;1240200;187700;1803200;43600;56600;6267900;5116000;5123400;54200;177600;2530000;3533500;450200;4024500;84200;2025400;103700;89400
1000;5210300;5703600;7235300;107000;274700;1618800;2728200;591200;1507300;92500;2354900;89600;80400;5463700;5763100;5242100;47000;228200;1698000;2040200;561600;344900;91800;2689000;291700;231400;2544900;392300;331300;47100;217000;23800;67500;496900;1271800;103000;2101200;69400;54700;6089300;6241500;6440000;55100;199100;3039400;5740000;536600;4918900;92000;2341700;103900;91700
